Depth,age,Gamma Density,MS Loop (negs removed)
11.268,23.31907383,1.247,12.8
11.278,23.34393318,1.2448,12.7
11.288,23.36883842,1.2487,12.8
11.298,23.39379133,1.2396,12.7
11.308,23.41879369,1.2371,12.6
11.318,23.44384728,1.2361,12.4
11.328,23.46895387,1.2395,12.3
11.338,23.49411524,1.2532,12.1
11.348,23.51933317,1.2068,12
11.358,23.54460944,1.223,12
11.368,23.56994582,1.0441,12.2
11.378,23.59534409,1.2223,12.6
11.388,23.62080604,1.2335,12.7
11.398,23.64633343,1.2389,12.7
11.408,23.67192804,1.2494,12.6
11.418,23.69759166,1.2424,12.5
11.428,23.72332606,1.2413,12.5
11.438,23.74913302,1.231,12.7
11.448,23.77501431,1.2356,12.9
11.458,23.80097171,1.241,13.6
11.468,23.82700701,1.2515,14.6
11.478,23.85312198,1.2249,15.7
11.488,23.87931839,1.3083,16.4
11.498,23.90559803,1.2358,16.3
11.508,23.93196267,1.2447,15.9
11.518,23.95841409,1.2411,15.6
11.528,23.98495266,1.2519,15.5
11.538,24.01156871,1.2563,15.6
11.548,24.03825888,1.2572,15.5
11.558,24.06502172,1.2385,15.8
11.568,24.09185581,1.2524,16.5
11.578,24.11875972,1.2649,15.8
11.588,24.14573201,1.0219,14.9
11.599,24.1754788,0.8138,14.8
11.608,24.199876,1.2638,15.2
11.618,24.22704484,1.1885,15.8
11.628,24.25427633,1.1893,15.8
11.638,24.28156903,1.187,15.2
11.648,24.30892152,1.2308,14.9
11.658,24.33633237,1.1595,15
11.668,24.36380013,1.1995,15.1
11.678,24.39132338,1.1867,15.7
11.688,24.41890068,1.1937,16.4
11.698,24.4465306,1.1503,16.7
11.708,24.47421171,1.2204,16.5
11.718,24.50194258,0.8147,16.1
11.728,24.52972177,1.039,15.5
11.738,24.55754784,0.9628,14.9
11.748,24.58541938,0.9467,14.5
11.758,24.61333494,0.5726,14.8
11.966,25.20149083,0.6072,15.2
11.976,25.23001003,1.0538,15.3
11.986,25.25854058,1.038,15.2
11.996,25.28708106,1.1186,14.8
12.006,25.31563002,1.1854,14.3
12.016,25.34418605,1.1072,13.6
12.026,25.37274769,0.9063,13.3
12.036,25.40131353,0.5596,13.6
12.046,25.42988213,1.0809,14.3
12.056,25.45845206,1.2562,14.7
12.066,25.48702188,1.2605,14.9
12.076,25.51559016,1.2274,0
12.086,25.54415546,1.1968,15.3
12.096,25.57271636,1.1857,15.3
12.106,25.60127143,1.1934,15.4
12.116,25.62981922,1.2003,15.4
12.126,25.65835831,1.1672,15.3
12.136,25.68688726,1.1826,15.1
12.146,25.71540464,1.1837,15
12.156,25.74390902,1.202,14.8
12.166,25.77239897,1.2208,14.8
12.176,25.80087305,1.2071,14.8
12.186,25.82932983,1.2158,15
12.196,25.85776787,1.2118,15.1
12.206,25.88618575,1.2265,15.3
12.216,25.91458203,1.2248,15.5
12.226,25.94295527,1.2537,15.9
12.236,25.97130406,1.2582,16.3
12.246,25.99962694,1.2574,16.7
12.256,26.0279225,1.2664,17
12.266,26.05618929,1.2817,16.9
12.276,26.08442588,1.282,16.6
12.286,26.11263085,1.2815,16.4
12.296,26.14080276,1.2719,16.3
12.306,26.16894017,1.2744,16.1
12.316,26.19704165,1.2834,15.9
12.326,26.22510578,1.2778,15.5
12.336,26.25313111,1.2843,14.8
12.346,26.28111622,1.2052,13.9
12.356,26.30905966,0.5884,13.1
12.366,26.33696002,0.6582,13.2
12.376,26.36481585,0.5269,13.7
12.386,26.39262573,1.1198,14.5
12.396,26.42038821,1.2934,15.1
12.406,26.44810188,1.2839,15.4
12.416,26.47576529,1.288,15.3
12.426,26.50337701,1.2982,15.1
12.436,26.5309356,1.291,14.9
12.446,26.55843965,1.2898,14.9
12.456,26.58588771,1.2831,15.1
12.466,26.61328085,1.3023,15.1
12.476,26.64062318,1.2788,15.2
12.486,26.6679155,1.2933,15.4
12.496,26.69515849,1.2963,15.5
12.506,26.72235287,1.3169,15.4
12.516,26.74949934,1.293,15.3
12.526,26.7765986,1.2865,15.4
12.536,26.80365135,1.2889,15.3
12.546,26.8306583,1.2796,15.3
12.556,26.85762016,1.28,15.2
12.566,26.88453763,1.2827,15.1
12.576,26.91141141,1.2836,15.2
12.586,26.9382422,1.2869,15.2
12.596,26.96503072,1.2844,15.3
12.606,26.99177766,1.2796,15.6
12.616,27.01848373,1.2435,15.8
12.626,27.04514963,1.1919,15.9
