Age (MAL1B/1C from Ivory et al 2016)age (kyr),Charcoal (abundance normalized by sedimentation rate),Lake Level (PC1 5pt Smooth)
86.366,117.5710828,-0.0859
86.423,97.10959322,-0.08596
86.476,427.7205424,-0.08832
86.529,149.2974255,-0.08346
86.583,175.9353974,-0.0866
86.634,200.5813097,-0.08346
86.66,51.99839925,-0.0752
86.759,26.39986544,-0.0666
86.806,30.59864828,-0.0658
86.812,62.73351807,-0.05374
86.866,64.75676952,-0.05372
86.895,12.26581873,-0.05744
86.919,227.0655396,-0.06264
87.022,37.14522498,-0.05946
87.075,128.3297496,-0.044
87.183,54.13262516,0.01458
87.237,67.88903156,0.01856
87.291,40.90983621,0.01644
87.346,26.56448704,0.01134
87.4,33.07148477,-0.01998
87.455,42.00087409,-0.0855
87.51,84.42987689,-0.0903
87.565,307.298318,-0.08716
87.621,71.57644117,-0.03878
87.677,52.32829669,0.11352
87.741,72.32458729,0.12166
87.798,90.44834308,0.13412
87.855,126.7279963,0.1458
87.913,25.46346435,0.11012
87.971,47.55133652,-0.01138
88.029,45.04798599,-0.00268
88.088,10.53531593,0.05162
88.147,53.19044164,0.11848
88.207,51.65500278,0.17732
88.27,57.02093562,0.1577
88.331,76.49638807,0.2361
88.392,257.9122032,0.17622
88.455,8.213501435,0.13204
88.517,152.7780315,0.0928
88.581,2.352073654,0.11134
88.645,4.486088056,0.08132
88.71,0,0.09464
88.775,23.92884624,0.1183
88.899,37.2498242,0.1027
88.967,26.58088712,0.15048
89.035,0,0.13196
89.105,57.53940971,0.19592
89.136,1758.380452,0.24616
89.177,19.75842607,0.26702
89.248,67.98124763,0.3029
89.291,6831.823925,0.36746
89.32,2100.850066,0.34094
89.466,202.0674945,0.33364
89.473,81.48040066,0.43642
89.541,66.45206702,0.47014
89.616,1.427412723,0.4338
89.849,43.26180258,0.50444
89.928,14.28296461,0.56002
89.939,28.50920627,0.44652
90.009,0,0.39594
90.082,7.488717037,0.39998
92.233,6.508666841,0.37342
92.345,45.03454683,0.36742
92.459,3.155409071,0.46024
92.575,2.166989636,0.3761
92.692,22.47904005,0.31494
92.811,2.057700516,0.24286
92.931,2.035647457,0.14616
93.052,0,0.03354
93.176,0,0.05852
93.301,12.89102683,0.07276
93.429,0.937669145,0.1669
93.558,4.338108419,0.11596
93.691,3.579804065,0.23516
93.824,0.906287502,0.20814
93.958,2.595276856,0.19646
