Age (MAL1B/1C from Ivory et al 2016)age (kyr),Lake Level (PC1 5pt Smooth)
896.096,-0.14678
896.887,-0.14982
897.67,-0.13864
898.44,-0.12816
899.629,-0.1207
905.55,-0.11006
905.6,-0.10108
906.397,-0.0953
907.175,-0.09478
907.945,-0.09886
908.698,-0.0994
909.441,-0.10668
910.171,-0.12152
910.883,-0.1295
911.584,-0.1257
911.964,-0.10572
912.513,-0.06016
913.18,-0.0488
913.833,-0.04774
914.466,-0.04152
915.089,-0.06922
915.694,-0.09402
916.292,-0.10904
916.433,-0.1125
916.462,-0.11496
916.949,-0.10672
917.425,-0.1131
917.898,-0.09414
918.362,-0.03776
918.822,-0.04406
919.273,0.02642
919.722,0.02528
919.983,0.0802
920.423,0.10844
920.856,0.11254
921.286,0.04372
921.709,0.0374
922.131,-0.02456
922.508,-0.11858
922.792,-0.12426
923.204,-0.14498
923.61,-0.1598
924.015,-0.15718
924.415,-0.15926
924.662,-0.14358
924.683,-0.10778
924.842,-0.11014
925.201,-0.13124
925.555,-0.12914
925.911,-0.15484
926.262,-0.1837
926.615,-0.18222
926.965,-0.1727
927.389,-0.16994
927.737,-0.1674
928.088,-0.17388
928.435,-0.17998
928.785,-0.19748
929.019,-0.19134
929.37,-0.20394
929.721,-0.20356
930.073,-0.19308
930.426,-0.18048
930.78,-0.192
931.135,-0.18032
931.492,-0.15616
931.85,-0.16206
932.03,-0.16876
932.06,-0.17614
932.536,-0.1874
933.007,-0.21018
933.4,-0.21726
933.86,-0.2182
934.315,-0.1861
934.764,-0.18286
937.227,-0.17542
938.887,-0.16692
939.205,-0.17118
939.517,-0.20768
939.829,-0.1993
940.138,-0.19888
940.442,-0.18564
940.745,-0.1564
941.046,-0.11844
941.215,-0.10766
941.491,-0.09624
941.786,-0.04736
942.078,0.02742
942.255,0.09072
942.48,0.17508
942.767,0.2472
942.964,0.2008
942.978,0.1734
943.207,0.16706
943.464,0.08494
943.725,0.0224
943.999,0.01944
944.291,-0.02284
944.32,-0.0888
944.601,-0.08982
944.622,-0.08616
944.958,-0.083
945.25,-0.0395
945.581,0.03938
945.909,0.04074
946.234,0.04814
946.401,0.04898
946.722,0.00158
947.04,-0.07416
947.356,-0.07592
947.668,-0.10068
947.94,-0.07674
948.249,-0.0752
948.555,-0.04478
948.84,-0.03434
949.142,-0.01582
949.243,-0.0329
949.565,-0.01982
949.836,-0.0527
950.314,-0.05104
950.579,-0.06628
950.707,-0.07576
950.972,-0.0982
951.234,-0.09952
951.495,-0.1238
951.756,-0.13906
952.015,-0.14404
952.111,-0.15658
952.369,-0.17388
952.627,-0.16526
952.883,-0.15504
953.393,-0.15558
953.649,-0.10236
953.889,-0.09146
954.027,-0.08906
954.044,-0.08752
954.322,-0.08516
954.6,-0.03972
954.877,0.04782
955.154,0.0735
955.43,0.09118
955.706,0.14648
955.982,0.07758
956.258,0.01826
956.457,0.01318
958.368,0.07974
958.581,0.111
960.598,0.14872
960.817,0.21802
961.037,0.29
961.256,0.29598
961.478,0.30974
961.7,0.35506
961.924,0.35582
962.147,0.36616
962.302,0.3634
962.528,0.36158
962.607,0.34172
962.848,0.33892
962.904,0.37402
963.167,0.31842
963.47,0.24222
963.775,0.18186
964.082,0.11558
964.392,0.0005
964.704,-0.00734
964.904,-0.01118
967.921,-0.01652
968.034,-0.01994
968.303,-0.02054
968.574,-0.02938
968.847,-0.03538
969.122,-0.0365
969.397,-0.03056
969.677,-0.03072
969.959,-0.02154
970.243,0.0657
970.529,0.0769
970.644,0.10236
970.934,0.1042
971.227,0.134
971.521,0.04166
971.816,0.05476
972.116,0.01568
972.419,0.00942
972.724,-0.03734
973.032,-0.03346
973.34,-0.0146
973.603,-0.0042
973.628,-0.02242
974.033,-0.0414
974.442,-0.03356
974.856,-0.10946
975.191,-0.15098
984.39,-0.16878
984.918,-0.1696
985.449,-0.20406
985.986,-0.18682
986.534,-0.07338
987.085,0.0344
987.628,0.06016
988.194,0.06734
988.837,0.06322
988.9,-0.04348
989.4,-0.13504
989.864,-0.15032
990.371,-0.14596
990.879,-0.1503
991.392,-0.14116
991.911,-0.14008
992.434,-0.13516
992.965,-0.1334
993.498,-0.12166
993.844,-0.04492
994.388,-0.04988
994.933,-0.06048
995.482,-0.08652
996.035,-0.10722
996.592,-0.2015
997.158,-0.21312
997.723,-0.23016
998.258,-0.19354
998.318,-0.19268
998.892,-0.1886
998.927,-0.18296
999.495,-0.17132
1000.046,-0.1764
1000.622,-0.1658
1001.197,-0.167
1001.753,-0.11174
1002.334,-0.09964
1002.923,-0.03286
1003.51,-0.03142
1004.105,-0.02018
1004.754,-0.05158
1005.24,-0.04574
1005.844,-0.11222
1006.445,-0.10092
1007.054,-0.04842
1007.661,-0.04746
1008.275,-0.002
1008.892,0.04914
1009.506,0.10408
1010.127,0.11656
1010.36,0.16574
1010.889,0.17598
1011.39,0.18614
1011.869,0.18716
1012.435,0.18884
1013.008,0.18658
1013.578,0.1755
1014.154,0.16196
1015.159,0.15712
1015.738,0.10424
1016.319,0.04404
1016.896,0.04286
1017.479,0.04404
1018.059,0.051
1021.672,0.08236
1022.222,0.14942
1022.48,0.11858
1022.56,0.11066
1023.136,0.10534
1023.439,0.12646
1024.016,0.0702
1024.633,0.11068
1025.255,0.07906
1025.872,0.0516
1026.49,0.00608
1026.989,0.00902
1027.572,-0.05336
1028.19,-0.07436
1028.808,-0.11874
1029.426,-0.14364
1030.044,-0.17092
1030.637,-0.16458
1031.18,-0.15848
1031.797,-0.14306
1032.414,-0.13436
1033.031,-0.12388
1033.622,-0.13168
1034.157,-0.12398
1034.638,-0.14388
1034.921,-0.16004
1035.03,-0.15644
1035.475,-0.14406
1036.582,-0.14494
1037.154,-0.12428
1037.725,-0.09312
1038.291,-0.08988
1038.703,-0.09138
1039.203,-0.09002
1039.766,-0.08596
1040.332,-0.09028
1040.898,-0.07832
1041.457,-0.07902
1041.88,-0.06884
1042.408,-0.04982
1042.964,-0.05038
1043.523,-0.06474
1044.081,-0.0524
1044.685,-0.05808
1045.187,-0.08104
1045.74,-0.0763
1045.854,-0.04918
1047.063,0.00434
1047.101,0.08838
1047.709,0.21872
1048.31,0.2682
1050.7,0.32988
1051.288,0.29324
1051.925,0.29572
1052.507,0.24708
1053.092,0.22416
1053.669,0.16364
1054.247,0.17194
1054.818,0.10608
1054.902,0.103
1055.469,0.10044
1056.037,0.10186
1056.598,0.0895
1057.159,0.15338
1057.713,0.11286
1058.361,0.12928
1059.267,0.13766
1059.739,0.15346
1060.205,0.06574
1060.671,0.06536
1061.13,0.01182
1061.59,0.00274
1061.946,-0.02916
1062.34,-0.02318
1062.791,-0.03826
1063.224,0.07082
1063.666,0.05966
1064.108,0.06528
1064.542,0.06848
1064.978,0.06004
1067.77,0.05
1068.268,0.0512
1068.34,0.16074
1068.949,0.1531
1069.355,0.16852
1069.754,0.07292
1070.148,0.05568
1070.543,-0.07224
1070.931,-0.0766
1071.317,-0.1035
1071.679,-0.00416
1072.012,0.01146
1072.389,0.01772
1072.767,0.01698
1073.138,0.01798
1073.507,-0.08128
1073.876,-0.09186
1074.238,-0.09442
1074.466,-0.00426
1074.734,0.05554
1075.093,0.15056
1075.447,0.26804
1075.801,0.26912
1076.149,0.18442
1076.174,0.1248
1076.498,0.02994
1076.616,-0.03644
1076.994,-0.03504
1077.455,-0.03698
1077.914,0.04738
1078.365,0.0465
1078.637,-0.02242
1078.998,-0.02194
1079.469,0.06154
1079.877,-0.0168
1080.309,-0.01556
1080.739,-0.00774
1081.162,-0.02278
1081.58,-0.1052
1081.958,-0.1197
1082.16,-0.12182
1082.186,-0.1191
1082.592,-0.1096
1082.997,-0.12054
1083.398,-0.11892
1083.792,-0.12096
1084.185,-0.11994
1084.574,-0.11392
1084.958,-0.11086
1085.34,-0.1059
1085.45,-0.02184
1085.825,-0.0153
1086.199,-0.00046
1086.569,0.1734
1086.934,0.16912
1087.297,0.18766
1087.658,0.19498
1088.013,0.2631
1088.301,0.09362
1088.394,0.09108
1088.616,-0.02028
1088.909,-0.04964
1089.202,-0.14944
1089.49,-0.1758
1089.779,-0.19152
1090.063,-0.19718
1090.138,-0.1909
1090.422,-0.18834
1090.702,-0.16312
1090.982,-0.14376
1091.258,-0.13044
1091.535,-0.11108
1091.807,-0.0888
1092.082,-0.05898
1092.495,0.0128
1093.128,0.01534
1093.431,0.01924
1093.511,0.00446
1093.632,0.05758
1093.662,0.06762
1093.79,0.16526
1094.032,0.20802
1094.29,0.25918
1094.546,0.22826
1094.8,0.14466
1095.051,0.03688
1095.303,0.05638
1095.554,0.07456
1095.803,0.06164
1096.049,0.15568
1096.127,0.24718
1096.374,0.26728
1096.611,0.307
1096.854,0.35304
1097.097,0.30084
1097.302,0.20678
1097.437,0.19344
1097.639,0.11582
1097.879,0.10406
1098.118,0.0745
1098.158,0.16554
1098.398,0.08224
1098.424,0.11498
1098.604,0.11448
1098.917,0.17372
1099.137,0.17768
1099.356,0.25792
1099.575,0.21546
1099.794,0.22024
1100.012,0.17436
1100.23,0.1295
1100.447,0.11094
1100.664,0.15236
1100.762,0.13456
1100.951,0.18204
1101.167,0.23458
1101.381,0.2176
1101.576,0.21368
1101.75,0.19898
1101.858,0.13164
1102.072,0.09106
1102.284,0.05802
1102.613,0.05376
1102.846,0.08038
1102.863,0.07896
1103.117,0.03258
1103.379,0.02776
1103.658,-0.03458
1103.937,-0.1197
1104.216,-0.12108
1104.495,-0.13008
1104.82,-0.15648
1105.099,-0.15126
1105.378,-0.13762
1105.658,-0.06192
1105.938,0.00728
1106.096,0.09508
1107.345,0.09734
1107.487,0.1764
1107.647,0.19898
1107.862,0.21794
1108.038,0.24288
1108.184,0.2363
1108.37,0.1502
1108.557,0.04144
1108.743,-0.05748
1108.931,-0.1681
1109.116,-0.17084
1109.305,-0.17788
1109.493,-0.1765
1109.682,-0.165
1109.872,-0.15278
1109.958,-0.14786
1110.148,-0.13106
1110.34,-0.12068
1110.531,-0.03486
1110.723,0.04664
1110.916,0.0522
1111.108,0.12516
1111.302,0.1611
1111.497,0.1621
1111.77,0.25766
1114.23,0.3258
1114.505,0.35376
1114.781,0.41346
1115.06,0.41048
1115.34,0.29176
1115.623,0.30514
1115.907,0.211
1116.193,0.1612
1116.48,0.09492
1116.738,0.04536
1116.816,-0.03124
1117.394,-0.0458
1117.715,-0.0881
1118.038,-0.0992
1118.695,-0.10066
1119.027,-0.11024
1119.266,-0.10668
1119.603,-0.10844
1119.943,-0.1113
1120.284,-0.13162
1120.619,-0.12354
1120.954,-0.12238
1121.285,-0.12412
1121.613,-0.11804
1121.936,-0.09556
1122.23,-0.09906
1122.326,-0.09834
1122.556,-0.10462
1122.86,-0.03938
1123.161,-0.05144
1123.459,0.0227
1123.755,0.13954
1124.049,0.19326
1124.34,0.16782
1124.629,0.25412
1124.868,0.22046
1125.152,0.15688
1125.434,0.17066
1125.714,0.1285
1125.992,0.04886
1126.268,0.00206
1126.542,-0.07058
1126.814,-0.14812
1127.24,-0.17084
1127.477,-0.1897
1127.729,-0.2039
1127.98,-0.19492
1128.227,-0.1211
1128.475,-0.10622
1128.719,-0.04858
1128.964,0.04464
1129.426,0.15624
1129.665,0.20536
1129.904,0.29508
1130.12,0.32892
1130.326,0.34744
1130.562,0.32474
1130.797,0.28864
1131.015,0.2782
1131.246,0.24378
1131.478,0.16066
1131.618,0.0793
1133.341,0.00034
1133.524,-0.08646
1133.719,-0.145
1133.913,-0.16674
1134.107,-0.18172
1134.3,-0.18482
1134.492,-0.16734
1134.673,-0.07562
1134.908,0.016
1134.942,0.10722
1135.103,0.19888
1135.287,0.31828
1135.471,0.25126
1135.666,0.16514
1136.031,0.08906
1136.214,0.04774
1136.397,-0.03784
1136.491,-0.03742
1136.663,0.0453
1136.796,0.04508
1136.942,0.01034
1137.095,-0.02944
1137.278,-0.00148
1137.407,-0.07944
1137.59,-0.07648
1137.613,-0.08332
1137.79,0.04902
1137.962,0.13146
1138.135,0.231
1138.319,0.36942
1138.501,0.4163
1138.686,0.32298
1138.935,0.21522
1138.984,0.12504
1139.212,-0.01636
1139.472,0.0197
1139.734,0.0146
1139.996,-0.0017
1140.259,-0.01924
1140.523,-0.03274
1140.788,-0.12558
1141.182,-0.16956
1141.416,-0.17208
1141.685,-0.16884
1141.955,-0.16312
1142.226,-0.1555
1142.499,-0.03864
1142.773,0.00768
1147.952,0.03186
1148.112,0.08064
1149.003,0.18244
1153.235,0.16252
1153.559,0.13312
1153.884,0.10644
1154.215,0.0512
1154.546,-0.06928
1154.883,-0.17118
1155.23,-0.18764
1155.571,-0.1895
1155.917,-0.1916
1156.265,-0.18328
1156.618,-0.17534
1156.972,-0.15486
1157.33,-0.14694
1157.711,-0.13776
1157.732,-0.11996
1158.079,-0.11244
1158.429,-0.11736
1158.779,-0.09984
1159.136,-0.09024
1159.496,-0.04304
1159.857,-0.00508
1160.223,0.00342
1160.593,0.05502
1160.967,0.1482
1161.018,0.1931
1161.395,0.23408
1161.774,0.3104
1162.159,0.32638
1162.547,0.31712
1162.936,0.30532
1163.332,0.2715
1163.732,0.22058
1164.133,0.1953
1164.54,0.15394
1164.745,0.09642
1164.773,0.0502
1165.242,0.08972
1166.19,0.10928
1166.672,0.15076
1167.162,0.16914
1167.654,0.21
1168.151,0.18614
1168.654,0.17374
1168.768,0.1833
1169.28,0.21354
1169.795,0.23426
1170.316,0.25922
1170.842,0.27242
1171.374,0.24232
1171.915,0.23956
1172.458,0.26106
1172.989,0.28702
1173.142,0.21808
1173.267,0.16026
1173.647,0.10736
1174.157,0.02064
1174.667,-0.07126
1175.187,-0.00834
1175.711,0.00146
1176.241,-0.00468
1176.771,0.0066
1177.311,-0.00402
1179.931,-0.0699
1180.501,-0.08048
1181.076,-0.08592
1181.653,-0.0877
1182.239,-0.08032
1182.831,-0.07278
1183.192,-0.07344
1183.736,-0.07004
1184.284,-0.0635
1184.842,-0.0678
1185.399,-0.01336
1185.962,0.06222
1186.533,0.17208
1187.361,0.24052
1187.44,0.29316
1188.524,0.27418
1189.117,0.3432
1189.711,0.36088
1190.31,0.4082
1190.925,0.49434
1191.682,0.57454
1192.295,0.54842
1193.602,0.51148
1194.243,0.45948
1194.892,0.41
1195.22,0.36994
1195.302,0.33358
1195.965,0.3246
1196.704,0.35864
1197.094,0.37852
1198.341,0.42068
1199.014,0.42148
1199.125,0.35522
1201.172,0.26366
1202.627,0.17498
1203.354,0.06486
1204.092,-0.00928
1204.835,-0.01168
1205.682,-0.00902
1206.34,-0.01078
1207.095,0.0548
1207.861,0.14764
1208.624,0.24514
1209.39,0.27376
1210.372,0.30872
1211.402,0.28112
1212.437,0.22368
1213.605,0.15486
1214.516,0.1865
1215.559,0.26202
1215.852,0.2959
1216.897,0.34672
1217.942,0.37642
1219.118,0.31272
