Age (MAL1B/1C from Ivory et al 2016)age (kyr),Charcoal (abundance normalized by sedimentation rate)
93.558,4.338108419
93.691,3.579804065
93.824,0.906287502
93.958,2.595276856
94.095,5.597094577
94.233,5.769391228
94.337,0
94.474,1.755050571
94.606,1.714971919
94.739,0
94.874,0
95.022,2.254772046
95.149,0
95.289,0
95.43,0.819821448
95.588,2.291350527
95.733,2.506105747
95.893,2.452403264
96.03,2.441257991
96.18,8.76
96.333,7.142523517
96.508,11.30415464
96.664,9.699791766
96.822,3.540292064
96.996,1.237658219
97.145,2.87177044
97.309,23.64256307
97.497,0.705292978
97.68,2.270205431
97.837,0
97.996,0.748539297
98.185,1.465858407
98.318,0.723428936
98.48,0
98.646,0
98.845,0.689834717
99.014,0
99.184,0
99.355,0
99.531,0
99.708,0
99.915,0
100.107,0.742095638
100.291,2.593817687
100.505,4.619654716
100.717,1.11033158
100.985,10.25013961
101.249,9.278063055
101.525,15.17162782
101.838,0.484629505
102.097,0.825194674
103.988,13.93149344
104.376,61.09674148
104.777,96.53664427
105.188,77.09302771
106.032,91.84510807
106.468,32.16007753
106.911,58.00710738
107.361,48.76402806
107.813,21.53957861
108.274,34.32148413
108.656,29.26635353
112.495,24.13916367
113.398,19.14835968
113.89,22.41840241
114.07,47.07350056
114.874,48.43077515
115.361,86.32840209
115.9,43.75778801
116.315,51.83677063
116.788,46.47313811
117.196,35.4700699
124.098,41.34593613
124.328,220.2762165
124.541,80.64254603
124.728,67.62578803
125.019,5.823321217
125.277,56.16188888
125.539,85.07181113
125.707,15.05049214
126.046,14.02613653
126.286,27.22155529
126.51,10.07596396
126.739,45.51029219
126.862,535.0232918
126.954,15.66551143
127.089,85.38417129
127.186,23.40420736
127.378,10.43058343
127.494,0
127.568,6.551556275
127.768,5.716197961
127.965,5.650475217
128.155,21.29949757
128.307,9.43550701
128.526,37.91726853
128.707,7.103453245
128.873,61.27541984
129.049,62.58960538
129.177,350.5342633
129.231,9.29271706
129.397,14.28590221
129.491,2509.645348
129.562,34.35247637
129.735,29.16728902
129.902,17.35089697
129.907,131.0431429
130.068,20.24106565
130.234,20.9326575
130.399,31.7111684
130.55,9.207767098
130.718,8.692244019
130.911,12.5157339
131.228,18.46677464
131.4,10.59915136
131.566,34.69403902
131.738,16.97150264
131.751,10.11421141
131.912,34.4192541
132.107,32.0510768
132.313,72.12096725
132.491,53.14317717
132.685,12.39146505
132.86,18.92571429
133.059,27.20200918
133.257,38.51037982
133.462,10.89579525
133.663,37.03751914
133.858,70.57745711
134.09,14.6487056
134.228,64.55055841
134.414,26.37985276
134.589,79.42045464
134.797,40.37072705
134.917,57.93603887
135.072,63.63343056
135.249,33.20415025
135.417,117.0925103
135.586,136.2976692
135.746,115.4809123
135.913,275.0379266
136.061,381.9631393
136.572,93.91059081
136.679,230.5048185
136.805,72.87099318
136.931,68.70415138
137.041,36.24575807
137.164,47.93627475
137.285,49.72350006
137.406,32.54288158
137.519,237.3368861
137.624,39.5607059
137.752,86.40248725
137.869,28.29951665
137.989,3.373074063
138.104,176.2575665
138.211,294.1558271
138.328,4.352678784
138.406,143.1203702
138.503,148.4888108
138.533,96.36751316
138.629,193.9233603
138.725,105.454546
138.821,380.6532563
138.915,367.9517239
139.01,355.4871795
139.049,128.4135605
139.129,152.6054967
139.137,13.87938892
139.229,37.49472833
139.32,47.11168387
139.403,69.99628096
139.477,171.3008302
139.567,79.83416911
139.657,164.6375401
139.736,92.06149203
139.825,45.85076433
139.913,91.62680161
140.002,265.3994082
140.09,136.9520574
140.177,40.41126075
140.265,273.0658686
140.344,16.44870845
140.43,50.47584659
140.517,148.0838339
140.603,45.73062498
140.69,88.6862037
140.777,76.61054421
140.863,111.2073496
140.948,82.11762027
140.982,208.6049257
140.987,74.06995759
141.066,43.38540851
141.152,80.22766737
141.237,56.11016679
141.323,104.4189709
141.402,74.14071336
141.493,50.16810288
141.573,91.91694831
141.658,87.19178017
141.743,142.4586716
141.829,263.9246732
141.917,67.30308405
142.003,58.67625487
142.089,35.69551663
142.168,47.6243816
142.255,14.59126766
142.341,62.7059207
142.428,50.11801073
142.514,245.0879377
142.604,75.47877849
142.692,171.4471172
142.795,227.2678498
142.802,62.39713448
142.905,29.59064149
143.009,84.11989573
143.114,70.89301591
143.219,87.69308904
143.325,70.65028185
143.432,142.2830244
143.539,71.71459677
143.647,157.5552522
143.755,35.27683158
143.814,62.22280905
143.91,29.73433889
144.02,90.6294836
144.132,46.0818025
144.244,138.3096569
144.358,117.272487
144.472,53.96653897
144.586,92.69750139
144.702,27.39458895
144.759,183.615298
144.776,41.95244228
144.901,75.62629989
145.036,63.85647827
145.172,107.986271
145.31,85.40022328
145.449,22.06893989
145.59,39.51838589
145.733,67.86387623
145.764,86.30721209
145.908,49.23327161
146.054,139.0860521
146.202,121.7145137
146.352,35.0656144
146.504,197.3089487
146.658,90.72160582
146.814,118.5622669
146.971,39.17861357
147.065,405.6466664
147.081,96.21248331
147.239,148.6148234
147.405,177.8481907
147.574,147.4463829
147.744,93.89992812
147.917,75.85516863
148.093,211.5100343
148.142,123.3802782
148.31,63.90771832
148.497,70.32481328
148.675,32.99364379
148.861,158.5671295
149.05,475.4342851
149.241,95.77867117
149.31,471.1839685
149.916,113.7433624
150.014,160.4714809
150.219,65.97413487
150.428,124.3473677
150.64,227.8094283
150.855,325.9228312
151.073,83.95896733
151.295,40.77640271
151.591,278.0210545
151.82,58.82824044
152.052,332.2677246
152.288,75.45546606
152.528,52.3942019
152.792,323.1605078
155.36,11.14048758
155.644,1.68958217
155.933,19.25627078
156.226,8.670198609
156.523,17.36001736
156.825,9.823511563
156.977,80.92577075
157.266,19.24221088
157.578,17.7920092
157.895,18.74756956
158.338,33.01045153
158.665,40.41964862
158.851,28.70152674
159.186,37.36619995
160.041,21.36140689
160.354,22.38577589
160.674,79.41402472
161.013,827.9351936
161.243,55.13400012
161.583,28.81966265
162.096,50.56762452
162.454,55.8909464
162.818,24.23900547
163.189,74.05363402
163.566,36.74467087
164.1,81.75854609
164.492,65.65302002
164.889,21.55169352
165.291,5.538272323
165.588,500.333488
165.923,10.011349
166.339,10.03603918
167.183,5.857113719
167.612,4.048835738
168.082,16.04030913
